Artist_id,Duration,Popularity,Danceablility,Energy,Loudness,Speechiness,Acoustincness,Instrumentalness,Liveness,Valence,Tempo,Artist
2iojnBLj0qIMiKPvVhLnsH,217064.8,61.9,0.7064,0.6587,-5.8426,0.0872,0.181083,4.765e-06,0.27292,0.44160000000000005,104.79490000000001,Trey Songz
2jku7tDXc6XoB6MO2hFuqg,214484.4,75.7,0.6428,0.5923,-7.894800000000001,0.17025,0.17757,1.085e-05,0.17703,0.50265,112.9807,Tory Lanez
2l6Z31DakUv5Gl9yQPbLEl,278443.6,28.5,0.8114000000000001,0.6925,-7.145999999999999,0.25293,0.0182467,0.0,0.17782,0.6168,146.4697,Foxx
2x8KDZdSONA3872CnhaAlX,220422.3,38.9,0.6118,0.7866,-6.0021,0.29500000000000004,0.06761110000000001,0.0,0.23015,0.48340000000000005,118.3421,Styles P
31HjiqargV4NAw4GZqUale,211383.3,52.8,0.7670999999999999,0.5851,-7.089499999999999,0.16446,0.20306699999999997,2.274e-06,0.16302,0.36123,136.4306,Ace Hood
33wbkdcxtduHKY53LnI1Hf,243298.4,22.4,0.6860999999999999,0.6876,-6.548900000000001,0.2526,0.20320400000000002,3.87e-05,0.30167,0.6826,130.8867,Huey
34Y0ldeyUv7jBvukWOGASO,180142.2,49.8,0.7711,0.6476,-6.745099999999999,0.363,0.072621,6.719999999999999e-07,0.17478,0.46109999999999995,155.0454,Bobby Shmurda
35sCXuy5gN6Or69rZ9vqBs,211519.7,52.1,0.7273,0.6385,-6.8668000000000005,0.1868,0.26429800000000003,1.24e-07,0.15835,0.5317999999999999,135.8562,Birdman
360IAlyVv4PCEVjgyMZrxK,220796.7,73.4,0.6052000000000001,0.5628,-8.2121,0.11004,0.160681,0.00196292,0.16576,0.4025,110.4835,Miguel
36HvjE9pV91jEjO1qBRidS,268605.1,35.9,0.701,0.7005,-6.438900000000001,0.24489999999999998,0.077432,0.000704582,0.20493999999999998,0.6426999999999999,135.8296,B.G.
3A5tHz1SfngyOZM2gItYKu,145137.4,61.4,0.5700000000000001,0.6322,-6.4116,0.23666,0.211439,0.052700770999999993,0.3396,0.6121000000000001,127.1517,Earl Sweatshirt
3D04N2X2w6vUGeyG94FBaY,277885.1,35.5,0.7376,0.7892,-4.1326,0.19318,0.048781000000000005,2.2499999999999998e-05,0.19902999999999998,0.4708,137.7274,Pastor Troy
3EIX8WuD9ybB4ruz0MSilB,158975.6,52.2,0.6876,0.7005,-7.071299999999999,0.23044000000000003,0.08036,2.4308000000000002e-05,0.12768,0.46909999999999996,138.8323,Lil Gnar
3HiuzBlSW7pGDXlSFMhO2g,181345.5,66.1,0.8634000000000001,0.6275000000000001,-6.0052,0.16094999999999998,0.11137999999999999,5.393000000000001e-05,0.15727,0.3988,138.4047,Young Dolph
3IbbhZMhvYcCTmqWNP3qA1,209963.5,23.1,0.7862,0.5829,-7.4285,0.29992,0.0441909,0.000136,0.16162,0.5948,137.23250000000002,Tum Tum
3KV3p5EY4AvKxOlhGHORLg,229506.7,69.2,0.6644,0.5142,-7.025799999999999,0.12205000000000002,0.33851,8.713e-06,0.11102000000000001,0.36903,120.67960000000001,Jeremih
3QnIBUOS4mUzs67rZ8r4c9,206830.3,32.0,0.6969000000000001,0.7068000000000001,-5.8567,0.17126000000000002,0.07996249999999999,0.00612,0.21871000000000002,0.5404,123.28310000000002,Lil Phat
3TVXtAsR1Inumwj472S9r4,234035.5,87.4,0.7013,0.5402,-7.771600000000001,0.16698,0.0845667,0.008688859,0.2298,0.3412,128.1387,Drake
3Y365ZqTf6fJ4ZcRnLKPGt,231004.6,48.7,0.7567999999999999,0.7137,-5.7854,0.13518,0.1878777,0.017674799999999997,0.2223,0.4907,130.7462,Gorilla Zoe
3Y7RZ31TRPVadSFVy1o8os,230525.0,66.9,0.5745,0.4274,-9.9215,0.13881,0.40245,0.00012263,0.13966,0.26208,98.71669999999999,H.E.R.
3ZooCJzNMTLpmJaIRUEorI,259063.8,36.7,0.7878999999999999,0.639,-6.9375,0.23801,0.0627903,1.26e-05,0.14642,0.6065,119.9825,Young Dro
3aQeKQSyrW4qWr35idm0cy,232341.0,69.2,0.7285999999999999,0.5599000000000001,-7.5301,0.11267,0.06556300000000001,1.1400000000000001e-07,0.19185,0.49676,108.1692,T-Pain
3ciRvbBIVz9fBoPbtSYq4x,319423.6,54.7,0.7281,0.6787,-6.0459000000000005,0.21669,0.02988418,7.892e-06,0.3053,0.4627,120.2913,Lil Jon & The East Side Boyz
3gGUMEwIX6XodWsYEvKSal,144655.9,56.1,0.8341,0.5756,-7.807300000000001,0.21922000000000003,0.087214,4.45e-07,0.15953,0.43629999999999997,106.80550000000001,YBN Nahmir
3hcs9uc56yIGFCSy9leWe7,193131.9,81.2,0.7408,0.5822999999999999,-7.705299999999999,0.1776,0.071295,4.5169999999999996e-05,0.1534,0.4838,130.9418,Lil Durk
3jahzTuztFVegfKXChatkY,239769.1,30.7,0.7704,0.6763,-7.4009,0.25461,0.14338900000000002,0.000127295,0.25583999999999996,0.6862,106.295,Trillville
3jksrX4oBklxR78ft8gv3j,206026.0,56.9,0.7389,0.6083999999999999,-6.6402,0.19247,0.07352800000000001,0.0,0.15239,0.5868,117.30319999999999,Plies
3kf0gOpxWtkyeMNJVDQPtd,194946.6,41.5,0.7344,0.6794,-6.172,0.21281,0.082965,5.714999999999999e-05,0.15938,0.5881000000000001,115.6037,Smoke DZA
3kortApcf0ntRWexUkJE4H,211708.2,37.7,0.6206,0.714,-5.6977,0.3358,0.153856,0.022001935,0.13252,0.43146000000000007,122.1788,Uncle Murda
3nViOFa3kZW8OMSNOzwr98,195855.3,59.2,0.6294000000000001,0.5938,-6.0885,0.15099,0.35678,0.0,0.13820000000000002,0.42679999999999996,125.8576,Queen Naija
3s2wTjWxK8NOX09dmsvVOh,247530.2,53.0,0.8342,0.7428,-5.3323,0.19973999999999997,0.10247999999999999,3.99e-07,0.15821000000000002,0.8008,119.44210000000001,Chingy
3s8alQfNnY0roAHaJh7Xxt,219113.7,49.8,0.6819,0.5692,-6.1352,0.21583999999999998,0.1648844,0.000446941,0.20281,0.3721,100.6,Dom Kennedy
3tlXnStJ1fFhdScmQeLpuG,226143.7,80.0,0.6232,0.437,-9.2759,0.1142,0.41639,0.00098262,0.18644,0.4509,128.51950000000002,Brent Faiyaz
